FECHA (YYMMDD);HORA (HHMM);Precipitacion (mm);
241211;0100;0;
241211;0200;0;
241211;0300;0;
241211;0400;0;
241211;0500;0;
241211;0600;0;
241211;0700;0;
241211;0800;0;
241211;0900;0;
241211;1000;0;
241211;1100;0;
241211;1200;0;
241211;1300;0;
241211;1400;0;
241211;1500;0;
241211;1600;0;
241211;1700;0;
241211;1800;0;
241211;1900;0;
241211;2000;0;
241211;2100;0;
241211;2200;0;
241211;2300;0;
241212;0000;0;
241212;0100;0;
241212;0200;0;
241212;0300;0;
241212;0400;0;
241212;0500;0;
241212;0600;0;
241212;0700;0;
241212;0800;0;
241212;0900;0;
241212;1000;0;
241212;1100;0;
241212;1200;0;
241212;1300;0;
241212;1400;0;
241212;1500;0;
241212;1600;0;
241212;1700;0;
241212;1800;0;
241212;1900;0;
241212;2000;0;
241212;2100;0;
241212;2200;0;
241212;2300;0;
241213;0000;0;
241213;0100;0;
241213;0200;0;
241213;0300;0;
241213;0400;0;
241213;0500;0;
241213;0600;0;
241213;0700;0;
241213;0800;0;
241213;0900;0;
241213;1000;0;
241213;1100;0;
241213;1200;0;
241213;1300;0;
241213;1400;0;
241213;1500;0;
241213;1600;0;
241213;1700;0;
241213;1800;0;
241213;1900;0;
241213;2000;0;
241213;2100;0;
241213;2200;0;
241213;2300;0;
241214;0000;0;
241214;0100;0;
241214;0200;0;
241214;0300;0;
241214;0400;0;
241214;0500;0;
241214;0600;0;
241214;0700;0;
241214;0800;0;
241214;0900;0;
241214;1000;0;
241214;1100;0;
241214;1200;0;
241214;1300;0;
241214;1400;0;
241214;1500;0;
241214;1600;0;
241214;1700;0;
241214;1800;0;
241214;1900;0;
241214;2000;0;
241214;2100;0;
241214;2200;0;
241214;2300;0;
241215;0000;0;
241215;0100;0;
241215;0200;0;
241215;0300;0;
241215;0400;0;
241215;0500;0;
241215;0600;0;
241215;0700;0;
241215;0800;0;
241215;0900;0;
241215;1000;0;
241215;1100;0;
241215;1200;0;
241215;1300;0;
241215;1400;0;
241215;1500;0;
241215;1600;0;
241215;1700;0;
241215;1800;0;
241215;1900;0;
241215;2000;0;
241215;2100;0;
241215;2200;0;
241215;2300;0;
241216;0000;0;
241216;0100;0;
241216;0200;0;
241216;0300;0;
